Ridge Alpha,Rocket Kernels,Accuracy,Recall,Precision,F1-Score,Fit Time
1.0,50,0.704 ± 0.06,0.704 ± 0.06,0.728 ± 0.061,0.695 ± 0.063,2.654 ± 0.344
10.0,50,0.668 ± 0.071,0.668 ± 0.071,0.698 ± 0.074,0.654 ± 0.075,3.659 ± 1.536
10.0,2000,0.658 ± 0.081,0.658 ± 0.081,0.668 ± 0.085,0.653 ± 0.082,123.394 ± 5.849
1.0,500,0.655 ± 0.073,0.655 ± 0.073,0.663 ± 0.074,0.651 ± 0.075,20.467 ± 0.806
100.0,1000,0.65 ± 0.074,0.65 ± 0.074,0.655 ± 0.075,0.646 ± 0.076,64.459 ± 5.649
100.0,2000,0.651 ± 0.085,0.651 ± 0.085,0.663 ± 0.089,0.646 ± 0.087,133.071 ± 6.097
1.0,2000,0.641 ± 0.078,0.641 ± 0.078,0.647 ± 0.082,0.638 ± 0.079,100.134 ± 6.111
100.0,5000,0.64 ± 0.082,0.64 ± 0.082,0.646 ± 0.085,0.637 ± 0.083,314.409 ± 7.429
10.0,1000,0.641 ± 0.068,0.641 ± 0.068,0.648 ± 0.067,0.636 ± 0.071,55.634 ± 3.328
10.0,500,0.638 ± 0.085,0.638 ± 0.085,0.644 ± 0.085,0.633 ± 0.087,31.96 ± 1.351
100.0,8000,0.642 ± 0.095,0.642 ± 0.095,0.666 ± 0.093,0.627 ± 0.101,464.407 ± 4.997
1.0,3000,0.636 ± 0.072,0.636 ± 0.072,0.651 ± 0.07,0.626 ± 0.078,160.098 ± 5.376
1.0,1000,0.631 ± 0.058,0.631 ± 0.058,0.642 ± 0.059,0.624 ± 0.061,41.29 ± 1.114
10.0,8000,0.637 ± 0.088,0.637 ± 0.088,0.658 ± 0.082,0.622 ± 0.096,499.102 ± 10.175
1.0,8000,0.636 ± 0.089,0.636 ± 0.089,0.656 ± 0.082,0.621 ± 0.097,476.359 ± 5.788
100.0,4000,0.622 ± 0.069,0.622 ± 0.069,0.627 ± 0.072,0.619 ± 0.069,254.217 ± 6.53
100.0,3000,0.631 ± 0.081,0.631 ± 0.081,0.651 ± 0.082,0.617 ± 0.088,194.264 ± 5.539
1.0,9000,0.626 ± 0.103,0.626 ± 0.103,0.633 ± 0.101,0.617 ± 0.107,532.246 ± 10.377
10.0,9000,0.626 ± 0.105,0.626 ± 0.105,0.632 ± 0.103,0.617 ± 0.109,575.603 ± 5.757
100.0,500,0.62 ± 0.096,0.62 ± 0.096,0.624 ± 0.096,0.616 ± 0.097,34.255 ± 1.468
10.0,3000,0.627 ± 0.073,0.627 ± 0.073,0.644 ± 0.073,0.615 ± 0.08,186.529 ± 5.565
1.0,4000,0.617 ± 0.054,0.617 ± 0.054,0.621 ± 0.056,0.614 ± 0.053,221.902 ± 7.248
1.0,7000,0.624 ± 0.102,0.624 ± 0.102,0.635 ± 0.102,0.614 ± 0.105,419.414 ± 10.475
10.0,5000,0.616 ± 0.068,0.616 ± 0.068,0.62 ± 0.07,0.613 ± 0.069,303.451 ± 3.745
10.0,4000,0.614 ± 0.054,0.614 ± 0.054,0.619 ± 0.057,0.612 ± 0.052,239.017 ± 7.607
10.0,7000,0.621 ± 0.105,0.621 ± 0.105,0.633 ± 0.105,0.611 ± 0.108,434.723 ± 5.151
100.0,9000,0.62 ± 0.115,0.62 ± 0.115,0.627 ± 0.113,0.611 ± 0.119,479.551 ± 32.217
100.0,7000,0.618 ± 0.114,0.618 ± 0.114,0.629 ± 0.113,0.608 ± 0.116,404.409 ± 7.432
100.0,6000,0.603 ± 0.076,0.603 ± 0.076,0.607 ± 0.076,0.599 ± 0.078,360.459 ± 9.608
100.0,50,0.613 ± 0.079,0.613 ± 0.079,0.639 ± 0.091,0.594 ± 0.083,3.838 ± 0.731
10.0,6000,0.593 ± 0.047,0.593 ± 0.047,0.595 ± 0.049,0.592 ± 0.047,358.651 ± 9.869
1.0,5000,0.591 ± 0.061,0.591 ± 0.061,0.594 ± 0.063,0.589 ± 0.062,287.042 ± 4.918
1.0,10000,0.601 ± 0.072,0.601 ± 0.072,0.613 ± 0.07,0.586 ± 0.08,610.03 ± 8.317
100.0,10000,0.601 ± 0.077,0.601 ± 0.077,0.613 ± 0.075,0.586 ± 0.085,423.453 ± 35.522
10.0,10000,0.601 ± 0.073,0.601 ± 0.073,0.612 ± 0.071,0.586 ± 0.08,648.171 ± 8.279
1.0,6000,0.584 ± 0.043,0.584 ± 0.043,0.586 ± 0.045,0.583 ± 0.042,343.954 ± 5.28
